business,month,sum(driver_total_pay)
Lyft,4,297815.3800000003
Uber,5,3.130051145499741E8
Uber,4,2.9506892721999526E8
Lyft,3,310276.55000000016
Uber,2,2.52155977089982E8
Lyft,1,239932.26000000018
Uber,3,2.959584960099811E8
Uber,1,2.5025348066991255E8
Lyft,2,234875.53000000012
Lyft,5,360408.09000000043
